"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"133","absolute","narrative","after","yn","implizit","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"134","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"135","absolute","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"136","absolute","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"137","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"138","absolute","narrative","after","yn","implizit","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"139","absolute","narrative","after","yn","implizit","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"140","absolute","narrative","after","yn","NP","S/A","implizit","S/A","intransitive","achievement","S/A=S/A(UP)implicit"
"141","absolute","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"142","absolute","narrative","after","yn","Pro","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"143","absolute","narrative","after","heb","Verb","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"144","absolute","narrative","after","yn","NP","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"145","absolute","narrative","after","yn","NP","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"146","absolute","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"147","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"148","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"149","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"150","absolute","narrative","after","ar","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"151","absolute","narrative","after","heb","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"152","absolute","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"153","absolute","narrative","after","yn","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"154","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"155","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"156","absolute","narrative","after","yn","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"157","absolute","narrative","after","yn","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"158","absolute","narrative","after","yn","implizit","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"159","absolute","historic","after","yn","NP","S/A","implizit","S/A","reflexive","state","S/A=S/A(UP)implicit"
"160","absolute","historic","after","yn","Pro","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"161","absolute","historic","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
